name,finish,opponents,shots,trange,hits,damage,wounds,injury
Bambi,1,4,48,0,21,114,23,97
Bloody,2,4,47,0,24,128,22,104
Charger,3,4,48,0,22,70,21,106
Jason,4,4,42,0,19,97,20,102
Lurker,4,4,25,0,18,79,23,104
Sample,1,4,88,0,27,106,15,93
Sniper,2,4,53,0,16,123,23,102
Steven,3,4,72,0,19,95,19,104
Bambi,1,4,18,0,8,37,9,48
Charger,2,4,35,0,25,126,18,100
Lurker,4,4,15,0,9,74,10,47
Sniper,3,4,18,0,9,60,14,102
Bloody,1,4,31,0,26,150,18,67
Jason,2,4,37,0,19,88,18,102
Sample,3,4,31,0,19,84,20,103
Steven,4,4,18,0,11,50,19,100
Bambi,2,4,52,0,18,70,18,106
Bloody,1,4,55,0,34,185,18,82
Jason,4,4,30,0,13,43,19,100
Sniper,3,4,29,0,13,90,23,100
Bambi,1,4,43,0,20,85,16,81
Charger,4,4,36,0,21,137,24,100
Jason,3,4,40,0,23,115,20,103
Sample,2,4,48,0,12,48,16,101
Bambi,1,4,48,0,21,104,15,74
Bloody,3,4,56,0,36,184,20,102
Sample,4,4,45,0,17,89,18,101
Bambi,2,4,42,0,18,100,18,105
Bloody,1,4,40,0,29,164,15,74
Charger,4,4,22,0,13,55,21,101
Jason,3,4,39,0,14,63,20,102
Bambi,1,4,52,0,28,155,23,93
Bloody,4,4,29,0,12,52,18,102
Charger,3,4,36,0,19,91,18,100
Jason,2,4,57,0,24,97,24,100
Traveler, 2, 4, 60, 0, 19, 74, 24, 104
Steven, 3, 4, 66, 0, 12, 57, 24, 101
Sniper, 1, 4, 69, 0, 41, 194, 23, 99
Sample, 4, 4, 62, 0, 20, 80, 21, 101
